id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga
GREATE11613,-37.974962,145.153433,Alex Nelson Reserve,55,Harold,Road,SPRINGVALE SOUTH,3172,Cricket,outdoor,Turf Pitch,GREATER DANDENONG
GREATE11613,-37.974962,145.153433,Alex Nelson Reserve,55,Harold,Road,SPRINGVALE SOUTH,3172,Football,outdoor,Grass,GREATER DANDENONG
GREATE11613,-37.974962,145.153433,Alex Nelson Reserve,55,Harold,Road,SPRINGVALE SOUTH,3172,Playground,outdoor,,GREATER DANDENONG
KINGST10924,-37.983552,145.120032,Chadwick Reserve,100,Howard,Road,DINGLEY VILLAGE,3172,Cricket,outdoor,Synthetic Pitch,KINGSTON
KINGST10924,-37.983552,145.120032,Chadwick Reserve,100,Howard,Road,DINGLEY VILLAGE,3172,Soccer,outdoor,Grass,KINGSTON
KINGST10938,-37.983408,145.136268,Dingley Reserve,NA,Marcus,Road,DINGLEY VILLAGE,3172,Cricket,outdoor,Synthetic Pitch,KINGSTON
KINGST10938,-37.983408,145.136268,Dingley Reserve,NA,Marcus,Road,DINGLEY VILLAGE,3172,Cricket,outdoor,Turf Pitch,KINGSTON
KINGST10938,-37.983408,145.136268,Dingley Reserve,NA,Marcus,Road,DINGLEY VILLAGE,3172,Football,outdoor,Grass,KINGSTON
KINGST10980,-37.982073,145.142252,Rowan Rd Reserve,NA,Rowan,Road,DINGLEY VILLAGE,3172,Baseball,outdoor,Grass,KINGSTON
KINGST10980,-37.982073,145.142252,Rowan Rd Reserve,NA,Rowan,Road,DINGLEY VILLAGE,3172,Netball,outdoor,Synthetic,KINGSTON
KINGST10980,-37.982073,145.142252,Rowan Rd Reserve,NA,Rowan,Road,DINGLEY VILLAGE,3172,Skating,outdoor,Concrete,KINGSTON
KINGST10980,-37.982073,145.142252,Rowan Rd Reserve,NA,Rowan,Road,DINGLEY VILLAGE,3172,Tennis,outdoor,Hard Court,KINGSTON
KINGST10988,-37.989276,145.142303,Springvale Public Golf Course,NA,Centre Dandenong,Road,DINGLEY VILLAGE,3172,Golf,outdoor,9 Hole Course - Public,KINGSTON
GREATE11621,-37.983689,145.149697,Coomoora Rd Reserve,NA,Coomoora,Road,KEYSBOROUGH,3173,Cricket,outdoor,Turf Pitch,GREATER DANDENONG
GREATE11621,-37.983689,145.149697,Coomoora Rd Reserve,NA,Coomoora,Road,KEYSBOROUGH,3173,Cricket,outdoor,Synthetic Pitch,GREATER DANDENONG
GREATE11621,-37.983689,145.149697,Coomoora Rd Reserve,NA,Coomoora,Road,KEYSBOROUGH,3173,Soccer,outdoor,Grass,GREATER DANDENONG
GREATE11632,-37.986985,145.17481,Frederick Watcher Reserve,NA,Bloomfield,Road,KEYSBOROUGH,3173,Cricket,outdoor,Turf Pitch,GREATER DANDENONG
GREATE11632,-37.986985,145.17481,Frederick Watcher Reserve,NA,Bloomfield,Road,KEYSBOROUGH,3173,Cricket,outdoor,Synthetic Pitch,GREATER DANDENONG
GREATE11632,-37.986985,145.17481,Frederick Watcher Reserve,NA,Bloomfield,Road,KEYSBOROUGH,3173,Football,outdoor,Grass,GREATER DANDENONG
GREATE11632,-37.986985,145.17481,Frederick Watcher Reserve,NA,Bloomfield,Road,KEYSBOROUGH,3173,Tennis,outdoor,Hard Court,GREATER DANDENONG
