"""id""",lat,lon,"""name""",street_no,"""street_name""","""street_type""","""suburb""",postcode,"""sport""","""type""","""lga""","""address"""
"""BAYSID12361""",-37.956597,145.026686,"""Bay Road Reserve""",,"""Holloway""","""Road""","""SANDRINGHAM""","""3191""","""Cricket""","""outdoor""","""BAYSIDE""","""Holloway Road, SANDRINGHAM 3191"""
"""BAYSID12361""",-37.956597,145.026686,"""Bay Road Reserve""",,"""Holloway""","""Road""","""SANDRINGHAM""","""3191""","""Soccer""","""outdoor""","""BAYSIDE""","""Holloway Road, SANDRINGHAM 3191"""
"""BAYSID12346""",-37.946924,145.018094,"""R.G. Chisholm Reserve""",,"""Duncan""","""Street""","""SANDRINGHAM""","""3191""","""Cricket""","""outdoor""","""BAYSIDE""","""Duncan Street, SANDRINGHAM 3191"""
"""BAYSID12379""",-37.959158,145.014708,"""Royal Avenue Reserve""",,"""Royal""","""Avenue""","""SANDRINGHAM""","""3191""","""Skating""","""outdoor""","""BAYSIDE""","""Royal Avenue, SANDRINGHAM 3191"""
"""BAYSID12379""",-37.959158,145.014708,"""Royal Avenue Reserve""",,"""Royal""","""Avenue""","""SANDRINGHAM""","""3191""","""Tennis""","""outdoor""","""BAYSIDE""","""Royal Avenue, SANDRINGHAM 3191"""
"""BAYSID12332""",-37.947532,145.000587,"""Sandringham Tennis/Croquet Club""",,"""Beach""","""Road""","""SANDRINGHAM""","""3191""","""Croquet""","""outdoor""","""BAYSIDE""","""Beach Road, SANDRINGHAM 3191"""
"""BAYSID12332""",-37.947532,145.000587,"""Sandringham Tennis/Croquet Club""",,"""Beach""","""Road""","""SANDRINGHAM""","""3191""","""Tennis""","""outdoor""","""BAYSIDE""","""Beach Road, SANDRINGHAM 3191"""
"""BAYSID12385""",-37.961185,145.023195,"""Tjilatjirrin Reserve""",,"""Tulip""","""Street""","""SANDRINGHAM""","""3191""","""Baseball""","""outdoor""","""BAYSIDE""","""Tulip Street, SANDRINGHAM 3191"""
"""BAYSID12385""",-37.961185,145.023195,"""Tjilatjirrin Reserve""",,"""Tulip""","""Street""","""SANDRINGHAM""","""3191""","""Cricket""","""outdoor""","""BAYSIDE""","""Tulip Street, SANDRINGHAM 3191"""
"""BAYSID12385""",-37.961185,145.023195,"""Tjilatjirrin Reserve""",,"""Tulip""","""Street""","""SANDRINGHAM""","""3191""","""Football""","""outdoor""","""BAYSIDE""","""Tulip Street, SANDRINGHAM 3191"""
"""BAYSID12385""",-37.961185,145.023195,"""Tjilatjirrin Reserve""",,"""Tulip""","""Street""","""SANDRINGHAM""","""3191""","""Soccer""","""outdoor""","""BAYSIDE""","""Tulip Street, SANDRINGHAM 3191"""
